hotspot_id,room_id,표시명,표시명_en,타입,연결대화,필요플래그,1회성,x,y,w,h,비고
hs_lab_machine,room_lab,타임머신,The time machine,look,dlg_lab_machine,,FALSE,,,,,
hs_lab_notes,room_lab,실험 노트,Research notes,look,dlg_lab_notes,,FALSE,,,,,
hs_lab_start,room_lab,기동 레버를 당긴다,Pull the ignition lever,look,dlg_lab_start,!flg_prologue_end,TRUE,,,,,프롤로그 진행
hs_lab_to_front,room_lab,저택 쪽으로 걸어간다,Walk toward the mansion,move,room_front,flg_prologue_end,FALSE,,,,,
hs_front_door,room_front,저택 문,The mansion door,look,dlg_front_door,,FALSE,,,,,
hs_front_sloth,room_front,그림자 속의 누군가,Someone in the shadows,talk,dlg_front_sloth,,TRUE,,,,,
hs_front_to_living,room_front,안으로 들어간다,Go inside,move,room_living,flg_met_sloth,FALSE,,,,,
hs_living_sloth,room_living,나태,Sloth,talk,dlg_living_sloth,,FALSE,,,,,
hs_living_sofa,room_living,낡은 소파,The worn sofa,look,dlg_living_sofa,,FALSE,,,,,
hs_living_gear,room_living,바닥에 떨어진 톱니,A gear on the floor,get,dlg_living_gear,,TRUE,,,,,
hs_living_note,room_living,탁자 위 수첩,A notebook on the table,get,dlg_living_note,,TRUE,,,,,
hs_living_to_hall,room_living,복도로,To the hall,move,room_hall,flg_ch1_start,FALSE,,,,,
hs_hall_look,room_hall,벽에 걸린 초상화들,The portraits on the wall,look,dlg_hall_portraits,,FALSE,,,,,
hs_hall_deduce,room_hall,지금까지 알아낸 것을 정리한다,Put together what you know,look,dlg_hall_deduce,flg_saw_drawing,FALSE,,,,,
hs_hall_to_living,room_hall,거실로,To the living room,move,room_living,,FALSE,,,,,
hs_hall_to_storage,room_hall,창고로,To the storage room,move,room_storage,,FALSE,,,,,
hs_storage_greed,room_storage,탐욕,Greed,talk,dlg_storage_greed,,FALSE,,,,,
hs_storage_lock,room_storage,자물쇠가 걸린 캐비닛,A padlocked cabinet,look,dlg_storage_lock,!flg_storage_open,FALSE,,,,,
hs_storage_open,room_storage,열린 캐비닛 안을 뒤진다,Search the open cabinet,get,dlg_storage_inside,flg_storage_open,TRUE,,,,,
hs_storage_to_hall,room_storage,복도로,To the hall,move,room_hall,,FALSE,,,,,
