dialogue_id,line_no,speaker_id,표정,대사,대사_en,연출태그,조건플래그,다음대화,비고
dlg_prologue_01,1,chr_doctor,normal,드디어… 완성이다.,At last... it's finished.,[bgm:bgm_lab],,,
dlg_prologue_01,2,chr_doctor,normal,십이 년. 아무도 믿어주지 않았던 십이 년이었어.,Twelve years. Twelve years with no one who believed me.,,,,
dlg_prologue_01,3,chr_doctor,normal,이제 이 레버만 당기면 돼.,All that's left is to pull this lever.,,,,
dlg_lab_machine,1,chr_doctor,normal,내 타임머신. 동력부가 조용히 떨고 있다.,"My time machine. The drive assembly is trembling, very quietly.",,,,
dlg_lab_notes,1,chr_doctor,normal,"실험 노트. 마지막 장에 딸의 이름으로 시작하는 문장이 적혀 있다가, 줄이 그어져 있다.","My research notes. On the last page, a sentence that starts with my daughter's name — struck through.",,,,
dlg_lab_notes,2,chr_doctor,sad,"…지웠구나, 내가.",...I crossed it out. I did that.,,,,
dlg_lab_start,1,chr_doctor,normal,"숨을 한 번 고르고, 레버를 당겼다.","I steadied my breath, and pulled the lever.",[sfx:lever],,,
dlg_lab_start,2,,,기계가 비명을 질렀다.,The machine screamed.,[shake][sfx:alarm],,,
dlg_lab_start,3,chr_doctor,surprised,"뭐야—! 출력이, 왜 이렇게—","What—! The output, why is it—",,,,
dlg_lab_start,4,,,시야가 하얗게 찢어졌다.,"The world tore open, white.",[fade_out][wait:0.6],,,
dlg_lab_start,5,,,…,...,[flag:flg_prologue_end][wait:0.4],,,
dlg_lab_start,6,,,"정신을 차리자, 눈앞에 낡고 기묘한 저택이 서 있었다.","When I came to, an old and strange mansion stood in front of me.",[fade_in][goto:dlg_arrive],,,
dlg_arrive,1,chr_doctor,surprised,여긴… 어디지.,Where... am I.,,,,
dlg_arrive,2,chr_doctor,normal,"주위를 둘러봐도, 이곳이 어느 시대인지조차 알 수 없다.",I look around and I can't even tell what century this is.,,,,
